horizon,delta_gap
T_eval,-0.0004240167812232798
T_eval,-0.0005499674384542574
T_eval,-0.0005754554541169687
T_eval,-0.0006457812516842409
T_eval,-0.0005024645144651174
T_eval,-0.0004952145849184131
T_eval,-0.0005441708045051952
T_eval,-0.0006992016791038669
T_eval,-0.0004096214214980298
T_eval,-0.0005170189734586828
T_eval,-0.0006329162580986925
T_eval,-0.0005538959509618913
T_eval,-0.00047886977127564734
T_eval,-0.000405390352340107
T_eval,-0.0006017684333083917
T_eval,-0.0006243389405333755
T_eval,-0.0005346396508197904
T_eval,-0.0005363374722999747
T_eval,-0.0005794555827687287
T_eval,-0.0005376424357241838
T_eval,-0.0006096226459957332
T_eval,-0.0005624372700318014
T_eval,-0.0005429239160803512
T_eval,-0.0005719788784903646
T_eval,-0.0005873640046184514
T_eval,-0.0005726839310637999
T_eval,-0.000534933580165653
T_eval,-0.0006067127374279613
T_eval,-0.0006698675354402939
T_eval,-0.0005125128636264131
T_eval,-0.0007159821097977304
T_eval,-0.0005851635066390637
T_eval,-0.0005513407513422219
T_eval,-0.000508188367990603
T_eval,-0.0005232743714457255
T_eval,-0.0005033424456538649
T_eval,-0.000515575313165928
T_eval,-0.00037888411857422977
T_eval,-0.0005146319127616872
T_eval,-0.0004980889324299742
T_eval,-0.000543752342097692
T_eval,-0.000600864091315656
T_eval,-0.0005873213702092261
T_eval,-0.0006489060171178673
T_eval,-0.0006900689901830903
T_eval,-0.0007119748869341969
T_eval,-0.000507735471070192
T_eval,-0.000575502226388136
T_eval,-0.0007800535172899359
T_eval,-0.0006191466091131081
T_eval,-0.00043101637517806157
T_eval,-0.0004801997037168215
T_eval,-0.0007357469580745457
T_eval,-0.0006171106321746223
T_eval,-0.0004460684909752821
T_eval,-0.0005045580015963225
T_eval,-0.0005907462075529502
T_eval,-0.0006090304243870914
T_eval,-0.0004354206476088196
T_eval,-0.00048207871776029254
T_eval,-0.0006570500288440861
T_eval,-0.0005893014881792613
T_eval,-0.0006487965721118094
T_eval,-0.0005562756972958827
T_eval,-0.000598061516781212
T_eval,-0.0005253940968129589
T_eval,-0.0004887954617521784
T_eval,-0.0005834697006685818
T_eval,-0.0003949242182198498
T_eval,-0.0006401339486427071
T_eval,-0.0005685569153842662
T_eval,-0.0005625698539279966
T_eval,-0.0004084024284882748
T_eval,-0.0005207181841038189
T_eval,-0.0006306469752414001
T_eval,-0.0005182858499175325
T_eval,-0.0007100448619760114
T_eval,-0.0005763677497541142
T_eval,-0.0004519927176855898
T_eval,-0.0005752250555228766
T_eval,-0.0005210208515743497
T_eval,-0.0005185536699420235
T_eval,-0.0005119824875448042
T_eval,-0.0005676165678226708
T_eval,-0.0005603968049342489
T_eval,-0.00042888636154514437
T_eval,-0.0006344421745010376
T_eval,-0.0005225045517476268
T_eval,-0.0004903290751577805
T_eval,-0.0005416968098321817
T_eval,-0.0005773187792660339
T_eval,-0.0006619796040712167
T_eval,-0.0005329153254416408
T_eval,-0.000524754563987706
T_eval,-0.00040136298700699236
T_eval,-0.0006448131149824343
T_eval,-0.0007371106151689011
T_eval,-0.0004709117872091495
T_eval,-0.0005555963483619974
T_eval,-0.0006111402960230494
T_eval,-0.00046709877046802184
T_eval,-0.0006005418829141407
T_eval,-0.0006216292552545521
T_eval,-0.0005653145421636863
T_eval,-0.0005599614722201496
T_eval,-0.0006793214510002477
T_eval,-0.0005839785497959715
T_eval,-0.00034520293669204616
T_eval,-0.0004821052218292321
T_eval,-0.0004119782127499638
